Index,Name1,Name,Date_of_birth,Season_year,Season,Team1,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,Shooting_Percentage,PowerPlay_Goals,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position1,Position,Height,Weight,x,Body_mass_index,Place_of_birth1,Place_of_birth,Age,Experience
846,David Tanabe,డేవిడ్ తానాబే,7/19/1980,2000,'99-'00,CAR,సిఎఆర్,449,30,84,114,-47,245,661,14.3,14,37,0,0,4,0,12:53,99:54:00,45,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,96,28.1,28.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"White Bear Lake, Minnesota","వైట్ బేర్ లేక్, మిన్నెసోటా",20,1
847,David Ullstrom,డేవిడ్ ఉల్‌స్ట్రోమ్,4/22/1989,2012,'11-'12,NYI,ఎన్.వై.ఐ,49,6,7,13,-4,12,68,10,1,0,0,0,2,0,10:59,39:47:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,188,88,24.9,24.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Jonkoping, Sweden","జోంకోపింగ్, స్వీడన్",23,1
848,David Van Drunen,డేవిడ్ వాన్ డ్రునెన్,1/31/1976,2000,'99-'00,OTT,ఓటిటి,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4:38,0:00,52,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Sherwood Park, Alberta","షేర్వుడ్ పార్క్, అల్బెర్టా",24,1
849,David Van der Gulik,డేవిడ్ వాన్ డెర్ గులిక్,4/20/1983,2009,'08-'09,CGY,సిజివై,49,2,11,13,8,10,57,0,0,0,0,0,0,0,8:29,25:27:00,36,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,178,85,26.8,26.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Abbotsford, British Columbia","అబాట్స్‌ఫోర్డ్, బ్రిటిష్ కొలంబియా",26,1
850,David Volek,డేవిడ్ వోలెక్,6/18/1966,1989,'88-'89,NYI,ఎన్.వై.ఐ,396,95,154,249,-24,201,975,10.9,29,45,1,3,11,1,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,183,84,25.1,25.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Prague,ప్రేగ్,23,1
851,David Vyborny,డేవిడ్ వైబోర్నీ,6/2/1975,2001,'00-'01,CBJ,సిబిజె,543,113,204,317,-48,228,920,10.4,36,90,7,1,17,0,15:25,38:05:00,9,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,178,86,27.1,27.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Jihlava, Czechoslovakia","జిహ్లావా, చెకోస్లోవేకియా",26,1
852,David Wilkie,డేవిడ్ విల్కీ,5/30/1974,1995,'94-'95,MTL,ఎంటిఎల్,167,10,26,36,-62,165,188,0,4,10,0,0,1,0,0:00,0:00,36,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,98,27.1,27.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Ellensburgh, Washington","ఎల్లెన్స్‌బర్గ్, వాషింగ్టన్",21,1
853,David Williams,డేవిడ్ విలియమ్స్,8/25/1967,1992,'91-'92,SJ,ఎస్.జె,173,11,53,64,-37,157,255,3.3,5,21,0,0,1,1,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,88,24.9,24.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Plainfield, New Jersey","ప్లెయిన్‌ఫీల్డ్, న్యూజెర్సీ",25,1
854,Davis Drewiske,డేవిస్ డ్రూవిస్కే,11/22/1984,2009,'08-'09,LA,ఎల్ఎ,135,5,20,25,-1,67,119,0,1,1,0,0,0,0,17:19,98:08:00,43,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,100,28.3,28.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Hudson, Wisconsin","హడ్సన్, విస్కాన్సిన్",25,1
855,Davis Payne,డేవిస్ పేన్,9/24/1970,1996,'95-'96,BOS,బిఓఎస్,22,0,1,1,-4,14,10,0,0,1,0,0,0,0,0:00,0:00,17,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,188,93,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Port Alberni, British Columbia","పోర్ట్ అల్బెర్ని, బ్రిటిష్ కొలంబియా",26,1
856,Daymond Langkow,డేమండ్ లాంగ్కో,9/27/1976,1996,'95-'96,TB,టిబి,1090,270,402,672,81,547,2456,0,72,123,11,13,42,4,0:00,0:00,22,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,178,83,26.2,26.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Edmonton, Alberta","ఎడ్మోంటన్, అల్బెర్టా",20,1
857,Dean Arsene,డీన్ ఆర్సేన్,7/20/1980,2010,'09-'10,EDM,ఇడిఎం,13,0,0,0,-3,41,4,0,0,0,0,0,0,0,12:57,0:00,2,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,93,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Murrayville, British Columbia","ముర్రేవిల్లే, బ్రిటిష్ కొలంబియా",30,1
858,Dean Chynoweth,డీన్ చినోవెత్,10/30/1968,1989,'88-'89,NYI,ఎన్.వై.ఐ,241,4,18,22,-22,667,145,0,0,0,0,0,0,0,0:00,0:00,28,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,86,24.3,24.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Calgary, Alberta","కాల్గరీ, అల్బెర్టా",21,1
859,Dean Evason,డీన్ ఎవాసన్,8/22/1964,1984,'83-'84,WSH,డబ్ల్యు.ఎస్.హెచ్ ,803,139,233,372,-101,1002,1136,0,30,35,8,12,14,3,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,178,82,25.9,25.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Flin Flon, Manitoba","ఫ్లిన్ ఫ్లోన్, మానిటోబా",20,1
860,Dean Kennedy,డీన్ కెన్నెడీ,1/18/1963,1983,'82-'83,LA,ఎల్ఎ,717,26,110,136,-56,1118,528,0,0,2,0,5,8,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,86,24.3,24.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Redvers, Saskatchewan","రెడ్వర్స్, సస్కట్చేవాన్",20,1
861,Dean Malkoc,డీన్ మాల్కోక్,1/26/1970,1996,'95-'96,VAN,విఎఎన్,116,1,3,4,-32,299,31,0,0,0,0,0,0,0,0:00,0:00,39,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,91,25.2,25.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Vancouver, British Columbia","వాంకోవర్, బ్రిటిష్ కొలంబియా",26,1
862,Dean McAmmond,డీన్ మెక్‌అమ్మండ్,6/15/1973,1992,'91-'92,CHI,సిహెచ్ఐ,996,186,262,448,36,490,1480,0,40,63,8,6,29,1,0:00,0:00,37,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,180,88,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Grande Cache, Alberta","గ్రాండే కాష్, అల్బెర్టా",19,1
863,Dean Melanson,డీన్ మెలన్సన్,11/19/1973,1995,'94-'95,BUF,బియుఎఫ్,9,0,0,0,0,8,7,0,0,0,0,0,0,0,0:00,0:00,57,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,180,89,27.5,27.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Antigonish, Nova Scotia","యాంటిగోనిష్, నోవా స్కోటియా",22,1
864,Dean Sylvester,డీన్ సిల్వెస్టర్,12/30/1972,1999,'98-'99,BUF,బియుఎఫ్,96,21,16,37,-31,32,181,0,2,6,0,0,2,1,0:00,0:00,11,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,188,50,14.2,14.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Hanson, Massachusetts","హాన్సన్, మసాచుసెట్స్",27,1
865,Denis Arkhipov,డెనిస్ ఆర్కిపోవ్,5/19/1979,2001,'00-'01,NSH,ఎన్‌ఎస్‌హెచ్,352,56,82,138,-51,128,511,14.3,15,25,1,4,11,2,9:56,30:33:00,19,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,190,97,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Kazan, Russia","కజాన్, రష్యా",22,1
866,Denis Chasse,డెనిస్ చస్సే,2/7/1970,1994,'93-'94,STL,ఎస్.టి.ఎల్ ,132,11,14,25,2,292,96,0,2,0,0,0,1,0,0:00,0:00,20,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,188,91,25.8,25.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Montreal, Quebec","మాంట్రియల్, క్యూబెక్",24,1
867,Denis Gauthier,డెనిస్ గౌతీర్,10/1/1976,1998,'97-'98,CGY,సిజివై,554,17,60,77,-5,748,436,0,0,4,1,8,3,0,0:00,0:00,21,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,102,28.2,28.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Montreal, Quebec","మాంట్రియల్, క్యూబెక్",22,1
868,Denis Grebeshkov,డెనిస్ గ్రెబెష్కోవ్,10/11/1983,2004,'03-'04,LA,ఎల్ఎ,234,17,68,85,-18,114,175,0,4,23,0,1,0,0,18:29,73:56:00,37,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,95,28.4,28.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Yaroslavl, USSR","యారోస్లావల్, యునైటెడ్ సోషలిస్ట్ సోవియట్ రిపబ్లిక్",21,1
869,Denis Hamel,డెనిస్ హామెల్,5/10/1977,2000,'99-'00,BUF,బియుఎఫ్,192,19,12,31,-10,77,236,33.3,1,1,1,0,4,0,9:45,29:16:00,23,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,185,89,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Lachute, Quebec","లాచూట్, క్యూబెక్",23,1
870,Denis Pederson,డెనిస్ పెడెర్సన్,9/10/1975,1996,'95-'96,NJ,ఎన్.జె,435,57,71,128,-18,398,624,50,14,8,1,1,11,2,0:00,0:00,16,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,188,93,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Prince Albert, Saskatchewan","ప్రిన్స్ ఆల్బర్ట్, సస్కట్చేవాన్",21,1
871,Denis Savard,డెనిస్ సావార్డ్,2/4/1961,1981,'80-'81,CHI,సిహెచ్ఐ,1196,473,865,1338,97,1336,3143,17.6,127,361,20,13,56,10,0:00,0:00,18,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,178,79,24.9,24.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Pointe Gatineau, Quebec","పాయింట్ గాటినో, క్యూబెక్",20,1
872,Denis Shvidki,డెనిస్ ష్విద్కి,11/21/1980,2001,'00-'01,FLA,ఎఫ్ఎల్ఎ,76,11,14,25,-5,30,72,21.4,2,5,0,0,2,0,10:21,27:49:00,21,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,188,95,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Kharkov, Ukraine","ఖార్కోవ్, ఉక్రెయిన్",21,1
873,Denis Tolpeko,డెనిస్ టోల్పెకో,1/29/1985,2008,'07-'08,PHI,పిహెచ్ఐ,26,1,5,6,-4,24,24,4.2,0,1,0,0,0,0,8:17,35:53:00,53,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,183,79,23.6,23.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Moscow, USSR","మాస్కో, యునైటెడ్ సోషలిస్ట్ సోవియట్ రిపబ్లిక్",23,1
874,Denis Tsygurov,డెనిస్ సైగురోవ్,2/26/1971,1994,'93-'94,BUF,బియుఎఫ్,51,1,5,6,-5,45,44,0,1,1,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,90,24.9,24.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Chelyabinsk,చెల్యాబిన్స్క్,23,1
875,Dennis Bonvie,డెన్నిస్ బోన్వీ,7/23/1973,1995,'94-'95,EDM,ఇడిఎం,92,1,2,3,-8,311,17,0,0,0,0,0,0,0,0:00,0:00,37,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,180,100,30.9,30.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Antigonish, Nova Scotia","యాంటిగోనిష్, నోవా స్కోటియా",22,1
876,Dennis Seidenberg,డెన్నిస్ సీడెన్‌బర్గ్,7/18/1981,2003,'02-'03,PHI,పిహెచ్ఐ,859,44,207,251,39,359,1430,3.3,8,53,0,4,8,0,16:50,75:07:00,44,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,90,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Schwenningen, West Germany","ష్వెన్నింగెన్, పశ్చిమ జర్మనీ",22,1
877,Dennis Vaske,డెన్నిస్ వాస్కే,10/11/1967,1991,'90-'91,NYI,ఎన్.వై.ఐ,235,5,41,46,31,253,217,0,1,8,0,1,1,0,0:00,0:00,29,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,95,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Rockford, Illinois","రాక్‌ఫోర్డ్, ఇల్లినాయిస్",24,1
878,Dennis Vial,డెన్నిస్ వియల్,4/10/1969,1991,'90-'91,NYR,ఎన్.వై.ఆర్,242,4,15,19,-27,794,111,0,0,1,0,0,0,0,0:00,0:00,21,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,100,29.2,29.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Sault Ste. Marie, Ontario","సాల్ట్ సెయింట్ మేరీ, అంటారియో",22,1
879,Dennis Wideman,డెన్నిస్ వైడ్‌మాన్,3/20/1983,2006,'05-'06,STL,ఎస్.టి.ఎల్ ,815,99,288,387,-72,503,1624,5.3,55,125,2,4,15,0,21:41,60:32:00,6,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Kitchener, Ontario","కిచెనర్, అంటారియో",23,1
880,Denny Felsner,డెన్నీ ఫెల్స్నర్,4/29/1970,1992,'91-'92,STL,ఎస్.టి.ఎల్ ,18,1,4,5,2,6,14,0,0,0,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,88,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Warren, Michigan","వారెన్, మిచిగాన్",22,1
881,Denny Lambert,డెన్నీ లాంబెర్ట్,1/7/1970,1995,'94-'95,ANA,ఎఎన్ఎ,487,27,66,93,-23,1391,420,7.1,3,2,0,0,2,1,0:00,0:00,27,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,180,93,28.7,28.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Wawa, Ontario","వావా, అంటారియో",25,1
882,Derek Armstrong,డెరెక్ ఆర్మ్‌స్ట్రాంగ్,4/23/1973,1994,'93-'94,NYI,ఎన్.వై.ఐ,477,72,149,221,-2,355,659,0,19,34,0,0,9,1,0:00,0:00,17,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,183,86,25.7,25.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Ottawa, Ontario","ఒట్టావా, అంటారియో",21,1
883,Derek Bekar,డెరెక్ బెకర్,9/15/1975,2000,'99-'00,STL,ఎస్.టి.ఎల్ ,11,0,0,0,-1,6,7,0,0,0,0,0,0,0,5:14,0:00,41,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,190,91,25.2,25.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Burnaby, British Columbia","బర్నబీ, బ్రిటిష్ కొలంబియా",25,1
884,Derek Boogaard,డెరెక్ బూగార్డ్,6/23/1982,2006,'05-'06,MIN,ఎంఐఎన్,277,3,13,16,-12,589,75,13.3,0,0,0,0,1,0,5:23,58:18:00,94,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,201,120,29.7,29.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Saskatoon, Saskatchewan","సస్కటూన్, సస్కట్చేవాన్",24,1
885,Derek Dorsett,డెరెక్ డోర్సెట్,12/20/1986,2009,'08-'09,CBJ,సిబిజె,515,51,76,127,-49,1314,700,6.8,2,2,5,4,6,0,8:53,92:26:00,15,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,87,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Kindersley, Saskatchewan","కిండర్స్లీ, సస్కట్చేవాన్",23,1
886,Derek Forbort,డెరెక్ ఫోర్బోర్ట్,3/4/1992,2016,'15-'16,LA,ఎల్ఎ,275,6,47,53,7,176,289,7.1,0,0,0,1,1,0,11:03,77:19:00,20,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,193,98,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Duluth, Minnesota","డులుత్, మిన్నెసోటా",24,1
887,Derek Gustafson,డెరెక్ గుస్టాఫ్సన్,6/21/1979,2001,'00-'01,MIN,ఎంఐఎన్,5,0,0,0,0,0,0,NONE,0,0,0,0,0,0,59:48:00,NONE,31,4,1,3,0,0,2.51,2.51,104,94,0.897,0,Goaltender,గోల్ టెండర్ ,180,95,29.3,29.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Gresham, Oregon","గ్రేషమ్, ఒరెగాన్",22,1
888,Derek Joslin,డెరెక్ జోస్లిన్,3/17/1987,2009,'08-'09,SJ,ఎస్.జె,116,4,12,16,-14,63,100,0,1,1,0,2,1,0,11:22,0:00,38,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,95,27.8,27.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Richmond Hill, Ontario","రిచ్మండ్ హిల్, అంటారియో",22,1
889,Derek King,డెరెక్ కింగ్,2/11/1967,1987,'86-'87,NYI,ఎన్.వై.ఐ,830,261,351,612,9,417,1786,0,95,114,1,0,37,4,0:00,0:00,29,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,183,93,27.8,27.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Hamilton, Ontario","హామిల్టన్, అంటారియో",20,1
890,Derek MacKenzie,డెరెక్ మెకెంజీ,6/11/1981,2002,'01-'02,ATL,ఎటిఎల్,611,51,74,125,-7,337,624,0,2,1,8,10,7,0,13:51,0:00,17,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,82,25.3,25.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Sudbury, Ontario","సడ్‌బరీ, అంటారియో",21,1
891,Derek Mayer,డెరెక్ మేయర్,5/21/1967,1994,'93-'94,OTT,ఓటిటి,17,2,2,4,-16,8,29,6.9,1,2,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Roseland, British Columbia","రోజ్‌ల్యాండ్, బ్రిటిష్ కొలంబియా",27,1
892,Derek Meech,డెరెక్ మీచ్,4/21/1984,2007,'06-'07,DET,డిఇటి,144,4,13,17,-27,45,155,0,1,4,0,0,2,0,5:47,0:00,28,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,180,91,28.1,28.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Winnipeg, Manitoba","విన్నిపెగ్, మానిటోబా",23,1
893,Derek Morris,డెరెక్ మోరిస్,8/24/1978,1998,'97-'98,CGY,సిజివై,1107,92,332,424,-44,1004,2029,7.5,38,141,4,7,22,3,0:00,0:00,53,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,98,29.3,29.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Edmonton, Alberta","ఎడ్మోంటన్, అల్బెర్టా",20,1
894,Derek Peltier,డెరెక్ పెల్టియర్,3/14/1985,2009,'08-'09,COL,సిఓఎల్,14,0,0,0,-4,2,8,0,0,0,0,0,0,0,13:15,0:00,6,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,180,86,26.5,26.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Plymouth, Minnesota","ప్లైమౌత్, మిన్నెసోటా",24,1
895,Derek Plante,డెరెక్ ప్లాంటే,1/17/1971,1994,'93-'94,BUF,బియుఎఫ్,450,96,152,248,17,138,926,14.3,26,53,1,5,14,1,0:00,0:00,38,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,82,25.3,25.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Cloquet, Minnesota","క్లోకెట్, మిన్నెసోటా",23,1
896,Derek Roy,డెరెక్ రాయ్,5/4/1983,2004,'03-'04,BUF,బియుఎఫ్,738,189,335,524,29,391,1583,12.7,55,113,8,4,35,0,15:19,39:29:00,10,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,175,83,27.1,27.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Ottawa, Ontario","ఒట్టావా, అంటారియో",21,1
