Index,Name,Name,Date_of_birth,Season_year,Season,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,,Shooting_Percentage,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position,Height,Weight,Body_mass_index,Place_of_birth,Place_of_birth,Age,Experience
396,Brett Lysak,బ్రెట్ లైసాక్,12/30/1980,2004,'03-'04,CAR,2,0,0,0,0,2,0,,0,0,0,0,0,0,3:24,0:00,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,86,25.7,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",24,1
397,Brett MacLean,బ్రెట్ మాక్లియన్,12/24/1988,2011,'10-'11,PHX,13,2,1,3,0,2,16,,12.5,0,0,0,2,NONE,8:46,37:58,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,188,89,25.2,"London, Ontario","లాండన్, ఓంటేరియో",23,1
398,Brett McLean,బ్రెట్ ఎంక్లీన్,8/14/1978,2003,'02-'03,CHI,2,0,0,0,-1,0,1,,0,0,0,0,0,0,10:47,0:00,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,84,25.9,"Comox, British Columbia","కామాక్స్, బ్రిటిష్ కొలంబియా",25,1
399,Brett Skinner,బ్రెట్ స్కినర్,6/28/1983,2009,'08-'09,NYI,11,0,0,0,2,4,5,,0,0,0,0,0,NONE,11:42,0:00,3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,88,25.7,"Brandon, Manitoba","బ్రండన్, మనితోబా",26,1
400,Brett Sterling,బ్రెట్ స్టర్లింగ్,4/24/1984,2008,'07-'08,ATL,13,1,2,3,-2,14,14,,7.1,0,0,0,0,NONE,12:24,53:43,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,170,79,27.3,"Los Angeles, California","లాస్ అంజెలెస్, కాలిఫోర్నియా",24,1
401,Brett Sutter,బ్రెట్ సుత్తర్,6/2/1987,2009,'08-'09,CGY,4,1,0,1,-2,2,6,,16.7,0,0,0,0,NONE,8:04,32:15,7,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,91,27.2,"Viking, Alberta","వికింగ్, ఆల్బర్టా",22,1
402,Brian Bellows,బ్రయియన్ బెలోలోస్,9/1/1964,1983,'82-'83,MIN,78,35,30,65,-12,27,184,,19,15,1,2,3,1,0:00,0:00,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,95,29.3,"St. Catharines, Ontario","స్ట్. కాథరిన్స్, ఓంటేరియో",19,1
403,Brian Benning,బ్రయియన్ బెన్నింగ్,6/10/1966,1985,'84-'85,STL,4,0,2,2,-6,0,1,,0,2,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,79,23.6,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",19,1
404,Brian Bonin,బ్రయియన్ బోనిన్,11/28/1973,1999,'98-'99,PIT,5,0,0,0,-2,0,2,,0,0,0,0,0,0,0:00,0:00,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,178,84,26.5,"St. Paul, Minnesota","స్ట్. పాల్, మిన్నెసోటా",26,1
405,Brian Boucher,బ్రయియన్ బౌచర్,1/2/1977,2000,'99-'00,PHI,35,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,58:13,NONE,33,33,20,10,3,NONE,65,1.91,790,725,0.918,4,Goaltender,188,91,25.8,"Woonsocket, Rhode Island","వూన్సాకెట్, రోడ్ ఇస్లాండ్",23,1
406,Brian Boyle,బ్రయియన్ బోల్,12/18/1984,2008,'07-'08,LA,8,4,1,5,4,4,19,,21.1,0,0,0,0,NONE,13:44,21:59,9,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,198,111,28.3,"Dorchester, Massachusetts","దొర్చేస్తర్, మస్సాచ్‌చ్షట్స్",24,1
407,Brian Bradley,బ్రయియన్ బ్రడ్లీ,1/21/1965,1986,'85-'86,CGY,5,0,1,1,-3,0,4,,0,0,0,0,0,0,0:00,0:00,19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,82,25.9,"Kitchener, Ontario","కిచనర్, ఓంటేరియో",21,1
408,Brian Campbell,బ్రయియన్ కాంప్‌బెల్,5/23/1979,2000,'99-'00,BUF,12,1,4,5,-2,4,10,,10,2,0,0,0,0,15:48,37:56,51,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,178,87,27.5,"Strathroy, Ontario","స్త్రాత్రోయ్, ఓంటేరియో",21,1
409,Brian Curran,బ్రయియన్ కర్రన్,11/5/1963,1984,'83-'84,BOS,16,1,1,2,0,57,6,,16.7,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,196,88,22.9,"Toronto, Ontario","టోరంటో, ఓంటేరియో",21,1
410,Brian Dumoulin,బ్రయియన్ డమోలిన్,9/6/1991,2014,'13-'14,PIT,6,0,1,1,1,4,3,,0,0,0,0,0,NONE,19:14,115:24,8,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,193,94,25.2,"Biddeford, Maine","బిడ్డీఫోర్డ్, మైన్",23,1
411,Brian Eklund,బ్రయియన్ ఏలూండ్,5/24/1980,2006,'05-'06,TB,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,58:13,NONE,40,1,0,1,NONE,0,3,3.09,19,16,0.842,0,Goaltender,196,93,24.2,"Braintree, Massachusetts","బ్రయింట్రీ, మస్సాచ్‌చ్షట్స్",26,1
412,Brian Elliott,బ్రయియన్ ఎల్లియట్,4/9/1985,2008,'07-'08,OTT,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,59:42,NONE,37,1,1,0,NONE,0,1,1.01,29,28,0.966,0,Goaltender,188,96,27.2,"Newmarket, Ontario","నౌమర్కెట్, ఓంటేరియో",23,1
413,Brian Fahey,బ్రయియన్ ఫహీ,3/2/1981,2011,'10-'11,WSH,7,0,1,1,-1,2,4,,0,0,0,0,0,NONE,11:49,82:44,45,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,99,28.9,"Glenview, Illinois","గ్లెన్వియ్, ఇల్లినోయిస్",30,1
414,Brian Felsner,బ్రయియన్ ఫెల్స్నర్,11/11/1972,1998,'97-'98,CHI,12,1,3,4,0,12,14,,7.1,0,0,0,0,0,0:00,0:00,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,86,26.5,"Mt. Clemens, Michigan","ఎంట్. క్లీమెన్స్, మిచిగన్",26,1
415,Brian Finley,బ్రయియన్ ఫిన్లీ,7/3/1981,2003,'02-'03,NSH,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,46:41,NONE,60,0,0,0,0,NONE,3,3.86,13,10,0.769,0,Goaltender,190,93,25.8,"Sault Ste. Marie, Ontario","సాల్ట్ స్ట్. మరియే, ఓంటేరియో",22,1
416,Brian Gionta,బ్రయియన్ జియంతా,1/18/1979,2002,'01-'02,NJ,33,4,7,11,10,8,58,,6.9,0,0,0,0,0,13:25,40:15,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,170,81,28,"Rochester, New York","రోచేష్టర్, న్యూ యార్క్",23,1
417,Brian Glynn,బ్రయియన్ గ్లైన్,11/23/1967,1988,'87-'88,CGY,67,5,14,19,-2,87,84,,6,6,0,1,1,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,193,102,27.4,Iserlohn,ఐజర్లోహ్న్,21,1
418,Brian Holzinger,బ్రయియన్ హాలీజింజర్,10/10/1972,1995,'94-'95,BUF,4,0,3,3,2,0,3,,0,0,0,0,0,0,0:00,0:00,19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,86,26.5,"Parma, Ohio","పర్మా, ఓహ్యో",23,1
419,Brian Lashoff,బ్రయియన్ లాశోఫ్,7/16/1990,2013,'12-'13,DET,31,1,4,5,-10,15,26,,3.8,0,0,0,0,NONE,17:47,110:15,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,99,27.4,"Albany, New York","ఆల్బనీ, న్యూ యార్క్",23,1
420,Brian Lee,బ్రయియన్ లీ,3/26/1987,2008,'07-'08,OTT,6,0,1,1,1,4,6,,0,0,0,1,0,NONE,16:49,100:56,50,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,93,25.8,"Fargo, North Dakota","ఫార్గో, నోర్త్ దాకోత",21,1
421,Brian Leetch,బ్రయియన్ లీచ్,3/3/1968,1988,'87-'88,NYR,17,2,12,14,5,0,40,,5,7,0,0,1,0,0:00,0:00,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,86,25.7,"Corpus Christi, Texas","కోర్పస్ క్రిస్టి, టెక్సాస్",20,1
422,Brian Loney,బ్రయియన్ లోనే,8/9/1972,1996,'95-'96,VAN,12,2,3,5,2,6,19,,10.5,0,0,0,0,1,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,188,91,25.8,"Winnipeg, Manitoba","విన్నిపెగ్, మనితోబా",24,1
423,Brian McGrattan,బ్రయియన్ ఎంచ్‌రత్తాన్,9/2/1981,2006,'05-'06,OTT,60,2,3,5,0,141,36,,5.6,0,0,0,0,NONE,4:14,50:47,40,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,193,107,28.7,"Hamilton, Ontario","హామిల్టన్, ఓంటేరియో",25,1
424,Brian McReynolds,బ్రయియన్ ఎంక్రెయినాల్డ్స్,1/5/1965,1990,'89-'90,WPG,9,0,2,2,-4,4,11,,0,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,82,24,"Penetanguishene, Ontario","పెనితంగూఇషెన్, ఓంటేరియో",25,1
425,Brian Noonan,బ్రయియన్ నూనన్,5/29/1965,1988,'87-'88,CHI,77,10,20,30,-27,44,87,,11.5,8,0,0,2,0,0:00,0:00,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,93,27.2,"Boston, Massachusetts","బోస్టన్, మస్సాచ్‌చ్షట్స్",23,1
426,Brian Pothier,బ్రయియన్ పొథియర్,4/15/1977,2001,'00-'01,ATL,3,0,0,0,4,2,0,,0,0,0,0,0,0,20:38,0:00,5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,90,26.9,"New Bedford, Massachusetts","న్యూ బెద్ఫోర్డ్, మస్సాచ్‌చ్షట్స్",24,1
427,Brian Propp,బ్రయియన్ ప్రాప్,2/15/1959,1980,'79-'80,PHI,80,34,41,75,45,54,209,,16.3,11,0,0,3,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,178,84,26.5,"Lanigan, Saskatchewan","లానిగన్, శస్కత్చేవన్",21,1
428,Brian Rafalski,బ్రయియన్ రాఫాల్స్కీ,9/28/1973,2000,'99-'00,NJ,75,5,27,32,21,28,128,,3.9,6,0,0,1,0,18:51,44:11,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,178,88,27.8,"Dearborn, Michigan","డీర్బర్న్, మిచిగన్",27,1
429,Brian Rolston,బ్రయియన్ రాల్స్టన్,2/21/1973,1995,'94-'95,NJ,40,7,11,18,5,17,92,,7.6,1,0,0,3,0,0:00,0:00,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,188,95,26.9,"Flint, Michigan","ఫ్లింట్, మిచిగన్",22,1
430,Brian Salcido,బ్రయియన్ సాల్సిడో,4/14/1985,2009,'08-'09,ANA,2,0,1,1,2,0,1,,0,0,0,0,0,NONE,12:18,24:35,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,92,26,"Los Angeles, California","లాస్ అంజెలెస్, కాలిఫోర్నియా",24,1
431,Brian Savage,బ్రయియన్ సవేగే,2/24/1971,1994,'93-'94,MTL,3,1,0,1,0,0,3,,33.3,0,0,0,0,0,0:00,0:00,49,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,91,26.6,"Sudbury, Ontario","సుద్బూరీ, ఓంటేరియో",23,1
432,Brian Skrudland,బ్రయియన్ స్కృద్లాండ్,7/31/1963,1986,'85-'86,MTL,65,9,13,22,3,57,62,,14.5,0,2,0,0,0,0:00,0:00,10,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,88,26.3,"Peace River, Alberta","పీస్ రైవర్, ఆల్బర్టా",23,1
433,Brian Strait,బ్రయియన్ స్ట్రైట్,1/4/1988,2011,'10-'11,PIT,3,0,0,0,-1,0,0,,0,0,0,0,0,NONE,13:32,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,93,27.2,"Boston, Massachusetts","బోస్టన్, మస్సాచ్‌చ్షట్స్",23,1
434,Brian Sutherby,బ్రయియన్ సుతార్బీ,3/1/1982,2002,'01-'02,WSH,7,0,0,0,-3,2,3,,0,0,0,0,0,0,7:17,0:00,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,93,26.3,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",20,1
435,Brian Swanson,బ్రయియన్ స్వాన్సన్,3/24/1976,2001,'00-'01,EDM,16,1,1,2,-1,6,8,,12.5,0,0,0,0,0,10:55,87:19,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,84,26.5,"Eagle River, Alaska","ఎగ్లే రైవర్, అలస్క",25,1
436,Brian Wesenberg,బ్రయియన్ వెజెన్‌బర్గ్,5/9/1977,1999,'98-'99,PHI,1,0,0,0,1,5,0,,0,0,0,0,0,0,0:00,0:00,54,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,190,85,23.6,"Peterborough, Ontario","పెటర్బరో, ఓంటేరియో",22,1
437,Brian White,బ్రయియన్ విట్ట్,2/7/1976,1999,'98-'99,COL,2,0,0,0,0,0,0,,0,0,0,0,0,0,0:00,0:00,59,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,82,24,"Winchester, Massachusetts","వించేస్తెర్, మస్సాచ్‌చ్షట్స్",23,1
438,Brian Willsie,బ్రయియన్ విల్సీ,3/16/1978,2000,'99-'00,COL,1,0,0,0,0,0,1,,0,0,0,0,0,0,8:16,0:00,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,88,25.7,"London, Ontario","లాండన్, ఓంటేరియో",22,1
439,Brian Wiseman,బ్రయియన్ విజేమన్,7/13/1971,1997,'96-'97,TOR,3,0,0,0,0,0,1,,0,0,0,0,0,0,0:00,0:00,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,170,84,29.1,"Toronto, Ontario","టోరంటో, ఓంటేరియో",26,1
440,Brock Nelson,బ్రాక్ నెల్సన్,10/15/1991,2014,'13-'14,NYI,72,14,12,26,-10,12,132,,10.6,4,0,0,1,NONE,14:16,39:30,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,190,97,26.9,"Minneapolis, Minnesota","మిన్నియాపోలిస్, మిన్నెసోటా",23,1
441,Brock Trotter,బ్రాక్ ట్రాటర్,9/18/1987,2010,'09-'10,MTL,2,0,0,0,-1,0,6,,0,0,0,0,0,NONE,9:03,0:00,59,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,82,25.9,"Brandon, Manitoba","బ్రండన్, మనితోబా",23,1
442,Brodie Dupont,బ్రదీ డూపాంట్,2/17/1987,2011,'10-'11,NYR,1,0,0,0,0,0,1,,0,0,0,0,0,NONE,5:34,0:00,40,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,96,27.2,"Russell, Manitoba","రుస్సెల్, మనితోబా",24,1
443,Brooks Laich,బ్రూక్స్ లైచ్,6/23/1983,2004,'03-'04,WSH,4,0,1,1,-1,0,2,,0,0,0,0,0,0,10:50,43:20,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,95,26.9,"Wawota, Saskatchewan","వవోట, శస్కత్చేవన్",21,1
444,Brooks Orpik,బ్రూక్స్ ఆర్పిక్,9/26/1980,2003,'02-'03,PIT,6,0,0,0,-5,2,2,,0,0,0,0,0,0,18:19,0:00,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,100,27.7,"San Francisco, California","సాన్ ఫ్రాన్సిస్కో, కాలిఫోర్నియా",23,1
445,Bruce Driver,బ్రూస్ డ్రైవర్,4/29/1962,1984,'83-'84,NJ,4,0,2,2,-2,0,5,,0,1,0,0,0,0,0:00,0:00,33,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,84,25.1,"Toronto, Ontario","టోరంటో, ఓంటేరియో",22,1
446,Bruce Gardiner,బ్రూస్ గార్డినర్,2/11/1972,1997,'96-'97,OTT,67,11,10,21,4,49,94,,11.7,1,1,0,2,2,0:00,0:00,9,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,88,25.7,"Barrie, Ontario","బారీ, ఓంటేరియో",25,1
447,Bruce Racine,బ్రూస్ రేసిన్,8/9/1966,1996,'95-'96,STL,11,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,20:56,NONE,30,0,0,3,0,NONE,12,3.13,101,89,0.881,0,Goaltender,183,81,24.2,"Cornwall, Ontario","కార్న్వాల్, ఓంటేరియో",30,1
448,Bruno Gervais,బ్రుణో జర్వాయిస్,10/3/1984,2006,'05-'06,NYI,27,3,4,7,-1,8,21,,14.3,1,0,0,0,NONE,16:47,64:44,27,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,93,27.2,"Acadie, Quebec","అక్కడి, క్వీబెక్",22,1
449,Bruno St. Jacques,బ్రుణో స్ట్. జాక్వేస్,8/22/1980,2002,'01-'02,PHI,7,0,0,0,4,2,4,,0,0,0,0,0,0,13:51,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,98,27.7,"Montreal, Quebec","మాంట్రీల్, క్వీబెక్",22,1
450,Bryan Adams,బ్ర్యాన్ ఏడంస్,3/20/1977,2000,'99-'00,ATL,2,0,0,0,-1,0,1,,0,0,0,0,0,0,10:57,0:00,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,84,25.9,"Fort St. James, British Columbia","ఫోర్ట్ స్ట్. జేమ్స్, బ్రిటిష్ కొలంబియా",23,1
451,Bryan Allen,బ్ర్యాన్ అలెన్,8/21/1980,2001,'00-'01,VAN,6,0,0,0,0,0,2,,0,0,0,0,0,0,9:20,0:00,6,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,196,101,26.3,"Kingston, Ontario","కింగ్స్టన్, ఓంటేరియో",21,1
452,Bryan Berard,బ్ర్యాన్ బెరార్డ్,3/5/1977,1997,'96-'97,NYI,82,8,40,48,1,86,172,,4.7,17,0,0,1,0,0:00,0:00,24,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,99,28,"Woonsocket, Rhode Island","వూన్సాకెట్, రోడ్ ఇస్లాండ్",20,1
453,Bryan Bickell,బ్ర్యాన్ బిక్కెల్,3/9/1986,2007,'06-'07,CHI,3,2,0,2,1,0,10,,20,0,0,0,0,NONE,11:49,17:44,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,193,101,27.1,"Bowmanville, Ontario","బౌమన్విల్లే, ఓంటేరియో",21,1
454,Bryan Erickson,బ్ర్యాన్ ఎరిక్‌సన్సన్,3/7/1960,1984,'83-'84,WSH,45,12,17,29,10,16,66,,18.2,2,0,0,2,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,175,77,25.1,"Roseau, Minnesota","రోజియలు, మిన్నెసోటా",24,1
455,Bryan Fogarty,బ్ర్యాన్ ఫోగార్టీ,6/11/1969,1990,'89-'90,QUE,45,4,10,14,-47,31,93,,4.3,4,0,1,0,0,0:00,0:00,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,90,25.5,"Brantford, Ontario","బ్రాంట్ఫోషార్డ్, ఓంటేరియో",21,1
456,Bryan Helmer,బ్ర్యాన్ హెల్మెర్,7/15/1972,1999,'98-'99,PHX,11,0,0,0,2,23,11,,0,0,0,0,0,0,0:00,0:00,43,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,94,27.5,"Sault Ste. Marie, Ontario","సాల్ట్ స్ట్. మరియే, ఓంటేరియో",27,1
457,Bryan Lerg,బ్ర్యాన్ లెర్గ్,1/20/1986,2015,'14-'15,SJ,2,1,0,1,-1,0,8,,12.5,0,0,0,1,NONE,12:36,25:12,11,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,178,79,24.9,"Livonia, Michigan","లివోనియా, మిచిగన్",29,1
458,Bryan Little,బ్ర్యాన్ లిట్లీ,11/12/1987,2008,'07-'08,ATL,48,6,10,16,-2,18,76,,7.9,0,0,0,1,NONE,15:37,46:50,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,87,26,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",21,1
459,Bryan Marchment,బ్ర్యాన్ మార్చ్మెంట్,5/1/1969,1989,'88-'89,WPG,2,0,0,0,0,2,1,,0,0,0,0,0,0,0:00,0:00,7,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,91,26.6,"Scarborough, Ontario","స్కార్బరో, ఓంటేరియో",20,1
460,Bryan McCabe,బ్ర్యాన్ ఎంక్కబే,6/8/1975,1996,'95-'96,NYI,82,7,16,23,-24,156,130,,5.4,8,0,0,1,0,0:00,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,100,28.3,"St. Catharines, Ontario","స్ట్. కాథరిన్స్, ఓంటేరియో",21,1
461,Bryan Muir,బ్ర్యాన్ మూర్,6/8/1973,1996,'95-'96,EDM,5,0,0,0,-4,6,4,,0,0,0,0,0,0,0:00,0:00,2,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,193,100,26.9,"Winnipeg, Manitoba","విన్నిపెగ్, మనితోబా",23,1
462,Bryan Rodney,బ్ర్యాన్ రోడ్నీ,4/22/1984,2009,'08-'09,CAR,8,0,2,2,-3,2,3,,0,2,0,0,0,NONE,12:38,50:30,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,93,27.8,"London, Ontario","లాండన్, ఓంటేరియో",25,1
463,Bryan Smolinski,బ్ర్యాన్ స్మోలిన్స్కీ,12/27/1971,1993,'92-'93,BOS,9,1,3,4,3,0,10,,10,0,0,0,0,0,0:00,0:00,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,98,28.6,"Toledo, Ohio","తోలేదో, ఓహ్యో",22,1
464,Bryan Trottier,బ్ర్యాన్ ట్రాటర్,7/17/1956,1976,'75-'76,NYI,80,32,63,95,0,21,178,,18,30,1,0,5,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,88,27.8,"Val Marie, Saskatchewan","వాల్ మరియే, శస్కత్చేవన్",20,1
465,Bryan Young,బ్ర్యాన్ యంగ్,8/5/1986,2007,'06-'07,EDM,15,0,0,0,-8,10,2,,0,0,0,0,0,NONE,10:06,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,87,25.4,"Ennismore, Ontario","ఎన్నిస్మోర్, ఓంటేరియో",21,1
466,Bryce Lampman,బ్రైస్ లాంప్మాన్,8/31/1982,2004,'03-'04,NYR,8,0,0,0,-4,0,7,,0,0,0,0,0,0,19:34,0:00,34,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,93,27.2,"Rochester, Minnesota","రోచేష్టర్, మిన్నెసోటా",22,1
467,Bryce Salvador,బ్రైస్ సల్వదోర్,2/11/1976,2001,'00-'01,STL,75,2,8,10,-4,69,60,,3.3,0,0,0,1,0,16:38,124:41,24,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,98,27.1,"Brandon, Manitoba","బ్రండన్, మనితోబా",25,1
468,Bubba Berenzweig,బబ్బా బెరెన్జ్‌వైగ్,8/8/1977,2000,'99-'00,NSH,2,0,0,0,-1,0,3,,0,0,0,0,0,0,17:32,0:00,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,98,28.6,"Arlington Heights, Illinois","ఆర్లింగ్టన్ హెయింట్స్, ఇల్లినోయిస్",23,1
469,Bud Holloway,బుడ్ హాలోవేవే,3/1/1988,2016,'15-'16,MTL,1,0,0,0,0,0,1,,0,0,0,0,0,NONE,7:19,0:00,52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,88,26.3,"Wapella, Saskatchewan","వాపెళ్ళ, శస్కత్చేవన్",28,1
470,Burke Henry,బర్కీ హెన్రీ,1/21/1979,2003,'02-'03,CHI,16,0,2,2,-13,9,25,,0,0,0,0,0,0,18:32,148:20,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,91,25.2,"Ste. Rose, Manitoba","స్ట్. రోస్, మనితోబా",24,1
